,name,team,avg,g,pa,ab,r,h,2b,3b,hr,슈,rbo,sac,sf
1,양의지,NC,0.353,117,454,385,61,136,26,0,20,222,67,0,6
2,페르난데스,두산,0.342,143,641,568,87,194,34,0,15,273,88,0,6
3,박민우,NC,0.341,124,522,464,89,158,23,8,1,200,44,2,6
4,이정후,키움,0.336,139,628,572,89,192,30,10,6,260,68,3,4
5,강백호,KT,0.336,116,505,438,72,147,29,1,13,217,65,0,4
6,고종욱,SK,0.323,137,513,492,76,159,25,7,3,207,56,0,2
7,로하스,KT,0.322,142,578,521,68,168,30,3,24,276,104,0,5
8,박건우,두산,0.318,126,532,453,83,144,27,5,10,211,63,1,11
9,유한준,KT,0.317,139,562,501,61,159,19,1,14,222,86,0,5
10,채은성,LG,0.315,128,514,470,59,148,18,1,12,204,72,0,8
11,김하성,키움,0.308,138,620,535,112,165,38,2,19,264,104,1,7
12,이천웅,LG,0.308,138,613,546,88,168,24,3,2,204,48,4,1
13,김태균,한화,0.305,127,500,433,47,132,21,0,6,171,62,0,8
14,샌즈,키움,0.305,139,613,525,100,160,39,1,28,285,113,0,5
15,김현수,LG,0.304,140,595,526,75,160,37,0,11,230,82,0,9
16,전준우,롯데,0.303,140,603,542,84,164,30,1,22,262,83,1,7
17,서건창,키움,0.301,112,485,425,67,128,23,3,2,163,41,3,5
18,최형우,KIA,0.3,136,555,456,65,137,31,1,17,221,86,0,7
19,김헌곤,삼성,0.297,114,467,411,57,122,20,1,5,159,46,5,6
20,오재일,두산,0.294,129,524,462,76,136,29,1,21,230,102,0,4
21,이명기,NC,0.294,138,542,479,62,141,16,3,2,169,36,7,4
22,손아섭,롯데,0.294,133,563,507,78,149,22,1,10,203,63,1,2
23,러프,삼성,0.292,133,568,472,80,138,35,2,22,243,101,0,9
24,최정,SK,0.292,141,606,503,86,147,27,0,29,261,99,0,8
25,김선빈,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4
26,최재훈,한화,0.29,135,451,373,47,108,18,0,3,135,31,4,4
27,허경민,두산,0.287,132,535,470,68,135,25,1,4,174,58,3,11
28,이형종,LG,0.286,120,482,419,56,120,24,1,13,185,63,1,10
29,호잉,한화,0.284,124,525,476,74,135,26,2,18,219,73,1,5
30,황재균,KT,0.283,124,507,448,78,127,16,3,20,209,67,0,5
31,김재환,두산,0.283,135,570,491,76,139,20,5,15,214,91,0,11
32,이대호,롯데,0.283,134,545,481,48,136,23,1,16,209,88,0,7
33,김민혁,KT,0.281,127,521,466,68,131,10,1,0,143,32,5,5
34,박병호,키움,0.28,121,528,428,92,120,22,0,33,241,98,0,9
35,박세혁,두산,0.279,136,500,437,58,122,19,9,4,171,62,9,6
36,로맥,SK,0.276,137,589,504,86,139,28,1,29,256,95,0,6
37,김상수,삼성,0.271,129,543,468,76,127,20,2,5,166,38,6,4
38,유강남,LG,0.27,132,468,418,44,113,22,0,16,183,49,1,6
39,김강민,SK,0.27,127,460,422,54,114,14,2,8,156,50,0,3
40,이창진,KIA,0.27,133,470,400,57,108,25,1,6,153,48,4,5
41,이재원,SK,0.268,139,502,451,33,121,19,0,12,176,75,1,7
42,김재호,두산,0.267,129,466,374,50,100,22,0,4,134,48,8,11
43,구자욱,삼성,0.267,122,526,475,66,127,27,6,15,211,71,0,6
44,정수빈,두산,0.265,122,509,437,74,116,19,5,0,145,41,4,5
45,한동민,SK,0.265,125,502,427,52,113,20,0,12,169,52,0,0
46,송광민,한화,0.264,122,486,454,50,120,21,0,7,162,51,3,5
47,정은원,한화,0.262,142,624,564,83,148,27,6,8,211,57,6,6
48,박찬호,KIA,0.26,133,541,504,60,131,15,4,2,160,49,5,2
49,이성열,한화,0.256,129,476,414,60,106,21,1,21,192,85,1,4
50,오지환,LG,0.252,134,547,473,63,119,23,5,9,179,53,7,3
51,박경수,KT,0.247,137,490,421,43,104,24,0,10,158,65,4,6
52,김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3
53,이원석,삼성,0.246,111,455,395,44,97,20,0,19,174,76,2,7
54,박해민,삼성,0.239,144,581,506,64,121,16,7,5,166,44,12,3
55,오선진,한화,0.224,122,453,392,37,88,16,0,3,113,36,10,3
